_id,GEOID,NAMELSAD,SidewalkStepLFt,StreetLFt,Ratio
1,420030103001,Block Group 1,13392.8331,30315.8639,0.441776396
2,420030103002,Block Group 2,31944.47597,20586.79493,1.551697391
3,420030103003,Block Group 3,18655.20798,12122.70024,1.538865732
4,420030103004,Block Group 4,14456.19616,11567.62831,1.24971133
5,420030201001,Block Group 1,43952.94811,24426.52459,1.799394258
6,420030201002,Block Group 2,19926.21186,11431.11892,1.74315498
7,420030201003,Block Group 3,22958.37879,9965.841226,2.30370706
8,420030201004,Block Group 4,22952.82242,13993.65431,1.640230773
9,420030201005,Block Group 5,39795.0451,29371.57389,1.354882964
10,420030201006,Block Group 6,20458.56192,14307.42101,1.429926602
11,420030203001,Block Group 1,92663.56238,107882.6817,0.858928986
12,420030305001,Block Group 1,38395.22489,20462.69749,1.876352074
13,420030305002,Block Group 2,25345.97309,16112.18311,1.57309366
14,420030402001,Block Group 1,21509.69347,17350.76959,1.239696796
15,420030402002,Block Group 2,25279.07048,14252.56023,1.773651195
16,420030404001,Block Group 1,10169.15095,9113.280712,1.115860607
17,420030404002,Block Group 2,8834.872109,7087.361142,1.246567225
18,420030405001,Block Group 1,26901.21186,16791.40286,1.602082452
19,420030405002,Block Group 2,20318.09367,13644.53814,1.489100874
20,420030406001,Block Group 1,18617.17048,13175.77977,1.41298434
21,420030409001,Block Group 1,31136.52952,28575.63004,1.089618303
22,420030409002,Block Group 2,16277.47455,10606.66303,1.534646147
23,420030409003,Block Group 3,9676.189651,9761.311942,0.991279626
24,420030501001,Block Group 1,19811.36948,17795.53289,1.113277675
25,420030501002,Block Group 2,20286.25828,17890.33362,1.133922861
26,420030501003,Block Group 3,34080.14414,22131.68712,1.539880081
27,420030506001,Block Group 1,23842.50131,22923.82508,1.040075172
28,420030506002,Block Group 2,13316.12609,7596.557535,1.752915848
29,420030506003,Block Group 3,24231.64912,14450.77206,1.676841142
30,420030509001,Block Group 1,34060.43485,5125.794855,6.644907924
31,420030510001,Block Group 1,19752.2098,6977.288034,2.830929396
32,420030510002,Block Group 2,23366.61277,9945.985081,2.349351279
33,420030511001,Block Group 1,21923.74413,7265.428071,3.017543347
34,420030603001,Block Group 1,22278.54548,23303.5115,0.956016671
35,420030603002,Block Group 2,48258.77244,24702.37556,1.953608564
36,420030605001,Block Group 1,22416.27825,12986.63751,1.72610333
37,420030605002,Block Group 2,17259.68931,16227.87417,1.06358289
38,420030703001,Block Group 1,11183.9053,8688.183228,1.287254769
39,420030703002,Block Group 2,11845.30329,8419.074477,1.406960269
40,420030703003,Block Group 3,17368.45161,10656.68025,1.629818218
41,420030705001,Block Group 1,13836.65539,9308.429048,1.486465151
42,420030705002,Block Group 2,8091.378804,5540.536359,1.460396301
43,420030705003,Block Group 3,19522.27563,7025.993489,2.778578667
44,420030706001,Block Group 1,15131.35053,12099.31406,1.250595732
45,420030706002,Block Group 2,14659.90813,7386.526978,1.984682134
46,420030708001,Block Group 1,19410.96568,11424.68591,1.69903714
47,420030708002,Block Group 2,23554.31765,8738.14275,2.695574829
48,420030709001,Block Group 1,21944.64344,12123.18469,1.810138508
49,420030709002,Block Group 2,9192.94842,7491.001421,1.227198862
50,420030709003,Block Group 3,13791.6941,9217.634267,1.49622926
51,420030709004,Block Group 4,10823.36648,3293.891188,3.285890716
52,420030802001,Block Group 1,15712.13391,14761.12091,1.064426882
53,420030802002,Block Group 2,8713.87913,3845.615132,2.265925952
54,420030804001,Block Group 1,20629.24651,14441.59579,1.428460318
55,420030804002,Block Group 2,14659.93692,7041.871288,2.081824037
56,420030806001,Block Group 1,20411.21679,14666.13569,1.391724257
57,420030806002,Block Group 2,15522.38524,5747.327913,2.70080035
58,420030807001,Block Group 1,14281.27358,8959.553326,1.593971603
59,420030807002,Block Group 2,14163.56285,7797.538832,1.816414532
60,420030809001,Block Group 1,24785.90325,11040.3387,2.245031056
61,420030809002,Block Group 2,13817.88406,6716.303466,2.057364462
62,420030901001,Block Group 1,35088.63261,18560.40028,1.890510554
63,420030901002,Block Group 2,15799.68462,5280.389423,2.992143827
64,420030902001,Block Group 1,18304.95009,10570.43078,1.731712782
65,420030902002,Block Group 2,22073.07904,11613.46086,1.900646096
66,420030902003,Block Group 3,6940.3078,3630.453709,1.911691584
67,420030903001,Block Group 1,16166.99142,7557.022311,2.139333558
68,420030903002,Block Group 2,12270.3477,6927.956769,1.771135143
69,420031005001,Block Group 1,17037.85339,15865.62802,1.073884587
70,420031005002,Block Group 2,30099.51359,17451.70652,1.724731823
71,420031011001,Block Group 1,17203.05814,13499.4161,1.274355721
72,420031011002,Block Group 2,18186.32662,22765.02239,0.798871458
73,420031011003,Block Group 3,14863.79334,11191.94293,1.328079801
74,420031014001,Block Group 1,28552.56801,23392.3993,1.220591682
75,420031014002,Block Group 2,10188.09893,6575.364226,1.549434918
76,420031014003,Block Group 3,13170.2006,11466.70414,1.148560253
77,420031014004,Block Group 4,12458.51391,6176.913822,2.016947989
78,420031016001,Block Group 1,34107.58914,21570.63489,1.581204694
79,420031017001,Block Group 1,17040.32467,12141.56123,1.403470637
80,420031017002,Block Group 2,18962.43415,8163.046727,2.322960383
81,420031018001,Block Group 1,22324.28738,18498.73981,1.206800442
82,420031018002,Block Group 2,30514.49978,20163.87882,1.513324894
83,420031102001,Block Group 1,13589.42758,9456.94601,1.436978446
84,420031102002,Block Group 2,14048.7735,10408.49986,1.349740471
85,420031102003,Block Group 3,19464.52597,7899.46265,2.464031647
86,420031102004,Block Group 4,23714.19552,14343.05402,1.65335747
